type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:publisher,publisher,Verlag,entity that publishes works,Herausgeber von Werken,,,,,,,,"Wikibase ID: P125,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:issn,issn,issn,identifier for journals,Identifikator für Zeitschriften,,,,,,,,"Wikibase ID: P126,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:style_used,style used,Stil,style that was used in the creation or modification of an item,Stil eines Kulturguts,,,,,,,,"Wikibase ID: P107,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:formatter_url,formatter url,URL-Formatierer,"web page URL; URI template from which ""$1"" can be automatically replaced with the effective property value on items. If the site goes offline, set it to deprecated rank. If the formatter URL changes, add a new statement with preferred rank.","URL-ähnliche Zeichenkette, wie ""https://wikidata.org/wiki/$1/"", bei der ""$1"" automatisch ersetzt wird mit dem tatsächlichen Eigenschaftswert eines Datenobjekts (genutzt bei der Definition von Eigenschaften)",,,,,,,,"Wikibase ID: P52,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:language_of_work_or_name,language of work or name,Sprache des Werks oder des Namens,language associated with this creative work or a name,Sprache dieses Werkes oder Namens,,,,,,,,"Wikibase ID: P110,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:surface_area,surface area,Fläche,measurement,Maß,,,,,,,,"Wikibase ID: P113,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:square_centimetre,square centimetre,Quadratzentimeter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q75,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:centimetre,centimetre,Zentimeter,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q76,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:gigabyte,gigabyte,Gigabyte,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q77,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:gram,gram,Gramm,measurement unit,Maßeinheit,,,,,,,,Wikibase ID: Q78,https://gitlab.com/nfdi4culture/wikibase4research/model/measurement_unit
